"","Target","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",7440,"Yes",1660,1232,721,23,52,2885,537,3300,450,2200,70,78,18.1,12,7041,60
"2",12280,"Yes",2186,1924,512,16,29,2683,1227,6450,750,1500,29,30,12.2,16,10527,56
"3",11250,"Yes",1428,1097,336,22,50,1036,99,3750,400,1165,53,66,12.9,30,8735,54
"4",12960,"Yes",417,349,137,60,89,510,63,5450,450,875,92,97,7.7,37,19016,59
"5",7560,"Yes",193,146,55,16,44,249,869,4120,800,1500,76,72,11.9,2,10922,15
"6",13500,"Yes",587,479,158,38,62,678,41,3335,500,675,67,73,9.4,11,9727,55
"8",13868,"Yes",1899,1720,489,37,68,1594,32,4826,450,850,89,100,13.7,37,11487,73
"9",15595,"Yes",1038,839,227,30,63,973,306,4400,300,500,79,84,11.3,23,11644,80
"10",10468,"Yes",582,498,172,21,44,799,78,3380,660,1800,40,41,11.5,15,8991,52
"12",17080,"Yes",2652,1900,484,44,77,1707,44,4440,400,600,73,91,9.9,41,11711,76
"13",9690,"Yes",1179,780,290,38,64,1130,638,4785,600,1000,60,84,13.3,21,7940,74
"15",8352,"Yes",494,313,157,23,46,1317,1235,3640,650,2449,36,69,11.1,26,8127,55
"16",8700,"Yes",1420,1093,220,9,22,1018,287,4780,450,1400,78,84,14.7,19,7355,69
"17",19760,"Yes",4302,992,418,83,96,1593,5,5300,660,1598,93,98,8.4,63,21424,100
"18",10100,"Yes",1216,908,423,19,40,1819,281,3520,550,1100,48,61,12.1,14,7994,59
"19",9996,"Yes",1130,704,322,14,23,1586,326,3090,900,1320,62,66,11.5,18,10908,46
"20",5130,"No",3540,2001,1016,24,54,4190,1512,3592,500,2000,60,62,23.1,5,4010,34
"22",6806,"No",7313,4664,1910,20,63,9940,1035,2540,96,2000,83,96,18.3,14,5854,70
"23",11208,"Yes",619,516,219,20,51,1251,767,4124,350,1615,55,65,12.7,25,6584,65
"24",7434,"No",12809,10308,3761,24,49,22593,7585,4850,700,2100,88,93,18.9,5,4602,48
"25",8644,"Yes",708,334,166,46,74,530,182,3922,500,800,79,88,12.6,24,14579,54
"26",3460,"No",1734,1729,951,12,52,3602,939,2650,450,1000,57,60,19.6,5,4739,48
"27",12000,"Yes",2135,1700,491,23,59,1708,689,5920,500,500,93,93,13.8,30,7100,88
"28",6300,"No",7548,6791,3070,25,57,16262,1716,3933,600,1908,85,91,16.7,18,6642,69
"29",11902,"Yes",662,513,257,12,30,2074,726,4372,540,950,65,65,12.8,31,7836,58
"30",13353,"Yes",1879,1658,497,36,69,1950,38,4173,540,821,78,83,12.7,40,9220,71
"31",10990,"Yes",761,725,306,21,58,1337,300,3244,600,1021,66,70,10.4,30,6871,69
"32",11280,"Yes",948,798,295,42,74,1120,15,4342,400,1150,81,95,13,33,11361,71
"33",9925,"Yes",627,556,172,16,40,777,538,4135,750,1350,59,67,22.4,11,6523,48
"34",8620,"Yes",602,483,206,21,47,958,466,4100,400,2250,58,68,11,21,6136,65
"35",10995,"Yes",1690,1366,662,30,61,2718,1460,4410,1000,1000,68,74,17.6,20,8086,85
"36",9690,"Yes",261,192,111,15,36,453,266,4300,500,500,57,77,9.7,35,9337,71
"39",11290,"Yes",990,784,279,18,45,1811,3144,5360,600,1800,76,78,12.6,11,9084,72
"40",6450,"Yes",6075,5349,2367,34,66,9919,484,3920,600,1346,71,76,18.5,38,7503,72
"41",12850,"Yes",1163,850,348,23,56,878,519,5400,400,800,78,89,12.2,30,8954,73
"42",8840,"Yes",807,707,308,39,63,1198,605,2950,750,1290,74,82,13.1,31,6668,84
"43",9000,"Yes",632,494,129,17,36,709,131,4850,300,2480,78,85,13.2,10,7550,52
"44",7800,"Yes",1220,974,481,28,67,1964,623,3664,650,900,61,61,11.1,19,7614,49
"45",16304,"Yes",1320,923,284,26,54,1085,81,3616,355,715,87,95,11.1,26,12957,69
"47",9550,"Yes",632,620,222,14,24,702,501,3850,350,250,64,84,14.1,18,5922,58
"49",13800,"Yes",3466,2330,640,20,60,3095,1533,5510,630,850,87,87,17.5,20,10941,82
"50",8050,"Yes",1858,1221,480,37,68,1620,49,3940,350,2375,80,80,16.3,17,10511,63
"51",8740,"Yes",878,816,200,16,41,706,62,3363,550,1700,62,68,11.6,29,7718,48
"52",8540,"Yes",202,184,122,19,42,537,101,3580,500,1400,61,80,8.8,32,8324,56
"53",6200,"Yes",502,384,104,11,28,347,74,2900,600,800,63,63,11.7,13,7623,35
"54",5188,"Yes",1646,1150,542,12,30,2128,82,3396,650,2500,48,48,13.8,9,6817,58
"55",11660,"Yes",805,588,287,67,88,1376,207,4325,400,900,74,79,14,34,8649,72
"56",6500,"Yes",500,336,156,25,55,421,27,2700,500,1000,76,76,14.3,53,8377,51
"57",7844,"No",6773,3028,1025,15,55,5847,946,2948,500,1680,66,68,18,19,7041,75
"58",7150,"Yes",377,358,181,15,30,653,129,4350,450,1500,61,67,17.8,3,6259,53
"59",9900,"Yes",692,514,209,20,50,760,81,3990,400,900,76,71,13.3,19,9073,58
"60",18420,"Yes",20192,13007,3810,45,80,14971,3113,6810,475,1025,80,81,11.9,16,16836,72
"61",19030,"Yes",3356,1019,418,76,100,1490,8,5885,1495,875,93,96,11.2,52,20447,96
"62",7452,"No",9251,7333,3076,14,45,13699,1213,3352,600,1700,81,89,21.1,14,6918,67
"64",10870,"Yes",3767,3414,1061,30,58,4531,643,4440,2000,1522,75,81,14.4,21,7671,85
"65",19380,"Yes",4186,2743,740,48,77,2819,62,6750,410,1000,90,97,9.8,24,17150,84
"66",9592,"Yes",367,274,158,12,41,917,479,5879,500,700,71,80,13.7,12,5935,49
"67",4371,"Yes",1436,1228,1202,10,26,1320,822,2370,500,2000,62,62,12.6,10,4900,18
"68",10260,"Yes",392,351,155,16,44,738,430,3597,600,1500,39,66,13.1,26,8355,58
"69",10265,"Yes",838,673,292,22,53,881,55,4725,560,875,68,73,13.2,24,8655,82
"70",2340,"Yes",7365,5402,4615,48,82,27378,1253,3580,860,1220,76,76,20.5,40,7916,33
"72",18165,"Yes",1465,810,313,71,95,1088,16,6750,500,1200,100,100,12.3,49,17449,89
"73",18550,"Yes",6548,3813,862,49,85,3316,31,4750,800,1200,95,97,14.2,36,13675,93
"74",13306,"Yes",860,688,285,32,70,1928,442,3797,450,950,62,69,8.8,10,6333,78
"75",13130,"Yes",2362,2037,700,40,68,2607,148,4650,500,1600,77,81,10.9,29,9511,83
"78",12950,"Yes",563,247,247,23,52,1427,432,5300,612,576,72,74,12.4,17,8985,60
"80",7706,"No",4540,3294,1483,5,60,13494,1254,4368,600,1926,90,90,21.2,8,7268,61
"81",10230,"Yes",1784,1512,913,29,56,3401,136,3710,400,1210,75,81,14.8,41,7786,81
"82",7550,"Yes",2087,1339,657,20,54,3191,1204,2790,600,500,77,77,21.8,34,3739,63
"84",10750,"Yes",2853,2193,753,16,34,2978,434,5340,400,1130,90,92,14.6,26,7972,64
"85",13050,"Yes",1747,1382,449,34,66,1662,960,4000,500,800,64,69,12.1,27,9557,83
"86",8400,"Yes",100,90,35,10,52,282,331,2812,300,2134,10,50,12.1,24,7976,52
"87",19292,"Yes",2694,1579,489,75,93,1870,12,3957,550,550,81,93,10.4,60,17960,91
"90",8150,"Yes",1096,951,464,27,62,1776,239,3150,400,500,61,62,13.6,16,6716,67
"91",13125,"Yes",1616,1427,434,20,43,1405,580,3775,500,1300,74,89,15.9,22,7364,62
"92",15700,"Yes",3877,3156,713,71,93,3051,513,4730,525,1460,95,95,2.9,29,19733,67
"93",7656,"No",1257,940,363,9,22,1547,294,4690,400,700,89,91,14.7,8,6318,79
"95",13712,"Yes",1754,1465,505,24,49,2159,211,6408,526,1100,90,96,9.3,18,12751,75
"96",9384,"Yes",3847,3433,527,9,35,1010,12,4840,600,500,22,47,14.3,20,7697,118
"97",14340,"Yes",776,607,198,25,58,791,764,5285,500,1000,58,83,11.7,39,10961,74
"98",7344,"Yes",1307,1090,616,25,55,2196,82,4410,570,1000,50,52,15.3,34,6897,64
"99",11400,"Yes",369,312,90,12,46,396,526,5400,500,760,41,85,9.5,20,9583,24
"100",8950,"Yes",495,434,210,35,55,775,44,3490,600,1900,86,92,11.3,25,9685,66
"101",11230,"Yes",601,396,203,1,20,525,323,6643,2340,620,8,58,6.8,4,13025,47
"102",10938,"Yes",1283,1113,401,31,65,1355,40,3660,650,600,76,90,13.5,29,8444,67
"103",5962,"No",4158,2532,902,6,24,6394,3881,4444,500,985,69,73,16.7,4,4900,49
"104",4620,"No",4681,4101,1436,10,35,8094,1596,3288,300,2250,69,80,19.7,4,5501,50
"105",7242,"No",2785,2011,1007,8,65,6507,898,3603,654,1416,67,89,18.1,0,6413,51
"107",11850,"Yes",1013,888,288,55,82,943,7,4270,600,900,95,99,11.4,60,13118,74
"108",16624,"Yes",959,771,351,23,48,1662,209,5895,600,1100,72,80,12.8,6,12692,47
"109",13500,"Yes",212,197,91,28,56,471,148,5230,400,850,95,98,9.3,37,16095,52
"110",10335,"Yes",342,254,126,25,64,518,232,5015,700,850,71,71,8.3,29,7729,73
"111",8730,"Yes",81,72,51,33,71,139,3,3600,400,800,92,92,9.3,17,10922,58
"112",9300,"Yes",880,520,224,16,42,1068,364,3260,600,900,81,81,11.1,24,8129,63
"113",7860,"No",883,766,428,3,37,2910,1749,4750,525,1889,80,82,21.2,16,4639,48
"114",4412,"Yes",1196,697,499,21,47,959,13,2460,500,1000,69,69,16.9,31,7083,21
"115",17000,"Yes",1860,767,227,71,93,887,1,6010,500,850,99,99,9.6,52,18443,87
"116",17500,"Yes",2887,2059,457,30,61,1928,296,4200,500,950,94,95,10.5,35,11951,79
"118",15960,"Yes",2174,1953,557,35,68,2332,53,5580,700,1300,95,95,15.8,32,11659,77
"119",8116,"No",8065,5257,2301,37,65,11755,770,3610,800,1618,82,88,18,17,7597,73
"121",13925,"Yes",1006,742,275,29,60,1127,205,4390,500,2200,73,86,12.7,32,10141,67
"122",9888,"Yes",604,452,295,15,47,690,222,4502,400,1000,64,77,12.1,39,8741,75
"124",19510,"Yes",4856,2492,727,46,75,2649,25,5565,500,750,95,98,10.5,45,15494,93
"125",10860,"Yes",1432,888,317,29,58,1121,493,5760,550,900,56,62,12.9,23,8604,96
"126",6120,"No",4772,3140,1265,22,55,6851,1200,3460,666,2316,73,78,17.2,18,4776,51
"127",9800,"Yes",798,620,238,14,41,1165,1232,4430,400,1150,46,46,11.1,35,6889,100
"129",12600,"Yes",344,264,97,11,42,500,331,5520,630,2250,77,80,10.4,7,9773,43
"130",11180,"Yes",457,356,177,35,61,667,1983,5620,600,700,64,64,11.5,32,7477,75
"132",12224,"Yes",511,411,186,23,51,1692,562,4440,450,1000,63,87,11.5,32,7315,77
"133",10900,"Yes",444,359,122,34,53,493,968,5250,380,1000,68,70,11.4,23,9447,78
"134",9990,"Yes",983,664,249,23,57,1698,894,5666,800,1500,66,71,14.3,28,6084,64
"135",11138,"Yes",546,447,189,16,42,873,683,4138,600,1200,40,74,14,7,8820,80
"136",8300,"Yes",141,118,55,12,21,201,173,4850,450,1300,53,53,9.5,19,6936,76
"137",11844,"Yes",672,596,278,29,60,1350,275,3696,450,1146,54,76,11.6,33,8996,72
"139",11720,"No",7117,3106,1217,68,88,5186,134,4298,600,800,89,92,12.1,31,9534,93
"140",16240,"Yes",2100,1883,553,29,65,1704,1,4690,500,500,84,96,11.1,43,14140,69
"141",17142,"Yes",3207,1577,490,56,87,1892,7,4190,450,1200,85,97,11.3,51,14664,84
"142",8412,"No",9478,6312,2194,29,65,15646,1829,4180,470,1800,87,89,19.2,10,7850,59
"143",8294,"Yes",314,158,132,10,28,690,5346,3700,400,900,87,87,15.3,2,5015,37
"145",18624,"Yes",6756,1930,871,78,96,3376,55,6664,550,300,97,98,5.9,21,30639,99
"146",10500,"Yes",281,266,139,13,29,1049,181,3750,450,950,69,75,12.8,18,6955,45
"147",6900,"Yes",232,216,106,16,34,534,172,3800,450,1825,67,76,12.1,9,6875,42
"148",10800,"Yes",688,497,144,30,75,641,101,4440,570,1515,55,60,13.1,13,8415,55
"149",9216,"Yes",528,403,186,22,56,1168,145,4191,400,1000,56,64,12.1,13,7309,75
"150",18740,"Yes",3035,1546,438,42,93,1630,232,6300,600,500,86,95,10.7,40,14773,91
"151",12050,"Yes",440,407,149,35,70,643,80,3700,500,900,63,76,10.2,31,10965,75
"154",8000,"Yes",1576,1110,274,24,55,992,112,3700,400,500,51,52,14.1,28,5807,51
"155",6230,"Yes",995,789,398,26,47,1306,122,3526,400,600,42,44,13,4,8189,63
"156",8920,"Yes",866,619,157,18,47,1074,336,4310,680,1320,68,68,14.6,42,6898,46
"157",9130,"Yes",504,482,185,10,36,550,84,3322,450,1450,46,51,12.6,25,8686,54
"158",12292,"Yes",585,508,153,12,30,460,536,4934,500,500,61,61,22.2,10,8643,72
"159",19545,"Yes",8587,2273,1087,87,99,3918,32,6070,550,1100,95,99,4.7,49,29619,98
"161",10850,"Yes",571,461,174,10,26,645,283,3670,400,1159,58,60,12.8,19,7505,56
"162",4528,"No",967,945,459,15,48,2806,538,1880,500,1200,49,63,17.1,16,5113,58
"163",16900,"Yes",2762,2279,533,32,60,1835,14,4720,500,600,88,97,11.6,45,12423,81
"164",14300,"Yes",1994,1656,495,50,80,1983,36,5020,550,950,78,94,11.1,31,11525,82
"166",4486,"No",434,412,319,10,30,1376,237,2146,600,2000,50,64,16.5,28,4525,46
"167",6700,"Yes",1998,1376,651,41,88,1539,45,3650,500,2307,52,52,14.1,12,7566,61
"168",9570,"Yes",793,709,244,20,47,1022,411,3000,400,1000,67,72,15.1,42,6852,60
"169",8310,"Yes",360,329,108,4,19,756,863,5500,600,1800,43,43,12.7,5,5480,54
"170",9800,"Yes",604,562,328,25,50,1048,56,2650,450,2800,61,60,12.5,17,7325,87
"171",9000,"Yes",1011,829,410,9,33,1059,2458,3100,450,1413,77,78,12.4,7,11178,42
"172",13420,"Yes",2799,2573,839,34,65,3322,726,4770,560,1675,88,93,15,24,9473,77
"174",8730,"Yes",700,650,314,33,66,1065,48,3523,500,750,82,92,13.2,35,9303,67
"175",18590,"Yes",13789,3893,1583,90,98,6188,53,5950,625,1162,95,96,5,44,27206,97
"177",7248,"No",9274,6362,2435,14,44,13171,1687,3240,500,1700,74,78,13.2,18,9002,58
"178",5800,"No",3330,2730,1303,15,36,6706,2640,3000,600,2200,73,75,14,9,9825,42
"179",4950,"Yes",379,341,265,10,36,1050,151,2780,530,1500,62,62,15.7,7,5619,38
"181",5962,"No",2172,1493,564,14,50,2766,1531,4316,650,500,71,76,16.9,14,5719,50
"182",5710,"No",5597,4253,1565,12,38,9161,845,3066,120,1730,62,71,16.2,5,5682,76
"183",9650,"Yes",486,440,227,19,48,903,59,3800,600,1300,46,65,11.4,29,10188,82
"184",8770,"Yes",516,409,200,17,40,1238,30,3500,450,700,58,58,17.3,17,6430,70
"185",15360,"Yes",1422,1109,366,33,65,1363,23,4080,600,1000,82,89,12.8,26,15003,59
"186",14190,"Yes",2417,1843,426,36,70,1476,299,4400,500,750,65,68,12.8,25,9815,81
"187",14990,"Yes",1457,1045,345,27,50,1109,502,4980,450,550,77,98,21.5,21,7502,64
"188",11800,"Yes",245,208,125,23,46,544,436,4765,450,1700,71,71,11.3,21,8952,86
"189",9100,"Yes",3624,2786,858,11,39,2933,334,3883,490,1777,70,74,18.9,34,6329,63
"190",7800,"Yes",3151,2584,958,14,40,4772,856,3750,570,3020,37,43,16.5,4,12878,44
"191",8578,"Yes",765,646,226,30,60,809,32,4408,700,1600,79,88,13.9,51,8061,82
"192",17600,"Yes",8506,4168,1236,76,97,5544,192,6000,600,870,97,98,5,28,28457,96
"193",5401,"No",1256,1256,853,43,79,3957,588,3144,450,1888,72,75,19.3,4,5527,50
"194",10485,"Yes",659,557,167,47,74,532,35,3840,475,1246,76,80,13.5,47,7527,67
"195",10955,"Yes",560,454,113,36,56,484,16,3450,330,670,62,87,10.6,31,9552,53
"196",6297,"No",1801,1101,438,14,50,3065,363,4600,600,1323,75,78,18.1,14,8355,68
"197",15000,"Yes",4784,3346,781,30,66,2984,1037,6200,700,1100,86,90,15.1,30,11220,94
"198",6806,"No",1455,1064,452,1,16,2632,617,2550,350,766,75,75,15.1,10,6972,24
"199",9400,"Yes",1339,1107,336,12,36,1051,82,4200,500,1600,53,58,12.5,9,7967,22
"200",5120,"Yes",1415,714,338,18,52,1345,44,3200,500,2140,52,60,18.1,9,3930,69
"201",13900,"Yes",1947,1580,523,39,74,1863,233,4140,750,1500,90,90,10.6,7,8923,57
"203",8025,"Yes",1381,1040,374,20,44,1506,970,4865,400,650,65,74,17.4,10,6339,68
"204",6680,"No",11651,8683,3023,50,90,18906,3242,4060,600,1020,80,89,23.1,15,7250,58
"205",8390,"Yes",291,245,126,16,49,981,337,4100,350,1500,45,55,21.5,24,4607,62
"206",14235,"Yes",4200,2874,942,30,55,4740,1646,6965,600,1735,86,97,14.4,14,10864,80
"207",6198,"No",3440,2823,1123,16,35,3793,486,3320,500,2500,89,97,19.1,6,4362,46
"209",9650,"Yes",553,452,228,22,49,1301,242,4400,600,1000,57,69,14.9,8,6336,83
"210",10390,"Yes",804,632,281,29,72,840,68,4040,525,1345,54,78,12.5,37,11751,60
"212",5500,"Yes",895,548,314,20,54,1174,50,3340,600,1600,68,76,16.1,13,6078,62
"213",9900,"Yes",346,274,146,51,87,704,63,3670,630,1818,59,59,10.5,14,8095,54
"214",13440,"Yes",2161,1951,685,56,82,2371,175,4048,600,1250,92,95,13.5,28,12940,82
"215",10970,"Yes",2464,1908,678,24,57,2693,691,4280,500,1380,47,51,13.3,18,7711,65
"216",8180,"Yes",1110,930,332,18,36,1603,374,4270,500,500,65,58,15.2,12,5664,29
"217",9476,"Yes",668,534,237,19,39,1306,258,4820,500,1100,67,67,20.1,26,6786,74
"218",12500,"Yes",809,726,294,27,52,1271,43,4130,400,1050,53,53,13.5,22,7136,52
"219",10800,"No",5653,4326,1727,17,29,9528,3822,4840,580,1050,93,96,19.3,7,6751,46
"220",17450,"Yes",7875,5062,1492,38,71,5471,1470,6328,700,950,92,93,7.6,15,14745,72
"221",8100,"Yes",727,693,286,30,55,1063,48,3950,550,550,73,76,13.3,28,7508,55
"222",18300,"Yes",11115,2881,1390,71,93,5881,406,7131,670,1700,91,92,7.2,27,19635,95
"223",6489,"No",7837,4527,2276,89,99,8528,654,4438,795,1164,92,92,19.3,33,11271,70
"224",6744,"No",3793,2341,1238,9,24,7732,9054,2655,720,3450,87,89,19,10,7762,34
"225",9150,"Yes",348,281,127,12,52,1095,785,3950,500,800,56,59,12.2,27,7348,76
"226",19964,"Yes",3596,2466,575,42,78,1944,46,4328,500,500,94,95,12.1,32,14720,83
"227",6120,"Yes",633,468,284,10,27,823,963,2985,531,1830,25,25,27.6,4,6081,36
"228",13000,"Yes",1886,1524,526,31,67,2523,296,4450,600,2400,78,90,14.7,32,9553,69
"229",12200,"Yes",674,565,282,25,54,1151,39,4070,400,1200,73,82,14.2,32,9226,66
"231",15588,"Yes",1151,813,248,40,64,850,80,6174,500,1200,78,90,9.2,34,16623,77
"232",8958,"Yes",548,428,167,18,46,618,113,3670,300,1000,53,59,15.3,26,9798,64
"233",9100,"Yes",555,414,242,14,41,996,2281,3100,550,880,51,61,23.6,24,5609,47
"234",6108,"No",5165,3887,1561,20,60,8234,2619,3800,500,1000,64,66,20.6,9,5063,57
"235",11750,"Yes",780,628,198,7,20,545,42,2700,400,850,77,83,14,24,6475,76
"236",8330,"Yes",608,494,176,10,31,649,314,3770,550,1300,64,80,13,31,7949,39
"237",10310,"Yes",510,387,194,20,46,771,53,4530,400,800,57,61,14.3,16,8222,60
"238",15688,"Yes",2039,1389,432,56,91,1333,30,4618,400,400,88,92,9.5,54,18979,83
"240",13404,"Yes",1202,1054,326,18,44,1410,299,5160,450,1050,78,86,15.6,30,9114,65
"242",11000,"Yes",380,237,104,30,56,716,1108,5550,500,500,36,41,7.8,22,7483,96
"243",19700,"Yes",3140,1783,454,40,82,1646,24,5050,300,800,91,96,9.6,60,17761,91
"244",13252,"Yes",1006,825,328,34,73,1362,102,4194,450,550,89,93,13,33,10296,65
"247",8200,"Yes",1006,837,317,33,65,1024,15,3485,500,1200,84,84,10.6,26,9248,64
"248",6300,"Yes",467,424,350,16,40,1365,334,2980,700,2140,75,79,13.7,10,7054,38
"249",5504,"Yes",1721,1068,806,35,75,3128,213,3528,700,910,71,77,17.7,37,6466,73
"250",17480,"Yes",2083,1725,430,22,49,1464,67,4780,500,700,75,87,12.3,32,11625,73
"251",18485,"Yes",13865,2165,1606,90,100,6862,320,6410,500,1920,97,97,9.9,52,37219,100
"252",17230,"Yes",1377,572,178,95,100,654,5,6690,700,900,100,100,8.2,46,21569,100
"253",9376,"Yes",817,708,262,22,52,935,37,3272,500,1902,57,63,13,17,7335,52
"254",8800,"Yes",823,721,274,52,87,954,6,3195,500,1200,82,99,13.1,26,8588,63
"255",11090,"Yes",920,745,347,35,66,1133,42,4700,400,750,80,80,12,31,12639,79
"256",14067,"Yes",922,729,244,37,66,1000,275,4560,400,1000,75,95,10.6,34,12165,79
"257",19029,"Yes",2688,2081,500,25,53,1792,5,5841,600,600,99,99,12.1,37,13040,79
"258",11600,"Yes",7428,5860,1349,25,63,6534,1350,5920,1000,1000,81,90,13.9,10,10093,60
"259",13470,"Yes",602,498,215,26,58,795,74,5515,500,850,78,91,11.1,48,13957,72
"260",13960,"Yes",699,565,176,36,64,710,399,6040,450,690,82,88,14.4,34,12434,72
"261",12275,"Yes",1712,1483,624,37,69,2505,208,4341,465,1100,72,81,12.5,40,9284,72
"262",9990,"Yes",949,786,302,30,70,1210,26,3550,500,1500,85,90,15,24,8187,67
"263",8080,"Yes",608,520,127,26,47,538,126,3920,500,1100,63,72,11.4,9,7703,44
